URL,HTTP_Status,Content_Type,Referenced_in_Sitemaps,Inlinks,Recommended_Action,Reason
https://www.kenyaadverts.com/seats/kakamega/mca,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,200 + 0 internal inlinks (orphan); valuable local page
https://www.kenyaadverts.com/seats/wajir/governor,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/banners/mkumsa-fun-day,200,text/html; charset=utf-8,sitemap-banners.xml,0,Index — add internal links + include in sitemap,Event/banner page with no internal links
https://www.kenyaadverts.com/ads/clean-2018-toyota-vitz-automatic-low-mileage,200,text/html; charset=utf-8,sitemap-listings-vehicles.xml,0,Index — add internal links + include in sitemap,Listing page; should be discoverable
https://www.kenyaadverts.com/counties/siaya,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,County page has zero inlinks
https://www.kenyaadverts.com/politics/he-james-gakuya-mwangi-nairobi-governor,200,text/html; charset=utf-8,sitemap-politics.xml,0,Index — add internal links + include in sitemap,Political profile page; should be reachable
https://www.kenyaadverts.com/ads/nannyhouse-help-wanted-full-time-karen,200,text/html; charset=utf-8,sitemap-listings-jobs.xml,0,Index — add internal links + include in sitemap,Job listing with 0 inlinks
https://www.kenyaadverts.com/seats/murang-a/mca,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/taita-taveta/governor,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/migori/women-rep,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/counties/kajiado,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,County page is orphaned
https://www.kenyaadverts.com/seats/kisumu/women-rep,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/turkana/senator,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/laikipia/mca,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/ads/azani-isp-project-documentation,200,text/html; charset=utf-8,sitemap-listings-services.xml,0,Index — add internal links + include in sitemap,Service listing with no internal links
https://www.kenyaadverts.com/seats/nandi/women-rep,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/marsabit/senator,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/kwale/governor,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/nyandarua/governor,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/makueni/women-rep,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/kakamega/senator,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/counties/isiolo,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,County page is orphaned
https://www.kenyaadverts.com/seats/tana-river/governor,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/kitui/mp,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/taita-taveta/women-rep,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/nandi/senator,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/tana-river/women-rep,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/counties/makueni,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,County page is orphaned
https://www.kenyaadverts.com/counties/mombasa,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,County page is orphaned
https://www.kenyaadverts.com/seats/baringo/mca,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/ads/office-desk-chair-set-1,200,text/html; charset=utf-8,sitemap-listings-commercial-supplies.xml,0,Index — add internal links + include in sitemap,Listing page with 0 inlinks
https://www.kenyaadverts.com/seats/elgeyo-marakwet/mca,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/trans-nzoia/governor,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/counties/embu,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,County page is orphaned
https://www.kenyaadverts.com/seats/machakos/governor,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/nyamira/governor,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/bungoma/women-rep,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/blog/sell-faster-on-kenyaadvert-proven-tips-kenya-sellers,200,text/html; charset=utf-8,sitemap-blog.xml,0,Index — add internal links + include in sitemap,Blog post with 0 internal inlinks
https://www.kenyaadverts.com/seats/elgeyo-marakwet/senator,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/seats/kajiado/mp,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,Orphan election seat page
https://www.kenyaadverts.com/counties/west-pokot,200,text/html; charset=utf-8,sitemap-elections.xml,0,Index — add internal links + include in sitemap,County page is orphaned
